transaction_id,transaction_date,county,suburb,sales_channel,payment_method,sku,product_name,supplier_id,supplier_name,stock_on_hand_before,quantity_sold,stock_on_hand_after,stockout_flag,reorder_point,reorder_qty,supplier_lead_time_days,supplier_on_time_rate,unit_cost_kes,unit_price_kes,vat_rate,discount_kes,gross_sales_kes,vat_kes,net_sales_kes,note,branch_code
aeac275c,23-Jun-2025,Kajiado,Westlands,KIOSK  ,BANK TRANSFER,COIL-1L,Sunflower Oil 1L,SUP-004,Rift Valley Wholesale,227,10,217,0,79,127,2,0.766,299.87,344.95,0.0,4.01,3449.5,0.0,3445.49,,NRB01
2794e966,04-05-2025,Kajiado,Ruiru,WHOLESALER,bank transfer,BIS-200G,Biscuits 200g,SUP-005,Kiambu Fresh Foods,221,8,213,0,62,164,5,0.899,127.23,150.48,0.16,0.0,1203.86,192.62,1396.47,,MKS-01
ed124550,07-31-2025,Kajiado,CBD,Kiosk ,bank transfer,SUGAR-2KG,Brown Sugar 2kg,SUP-002,Juja Foods Distributors,172,13,159,0,75,100,6,0.908,365.06,453.3,0.08,14.09,5892.96,471.44,6350.31,,NRB-01
b8e520d8,18/05/2025,Machakos,Donholm,supermarket,cash,JUICE-1L,Mango Juice 1L,SUP-004,Rift Valley Wholesale,230,4,226,0,79,367,3,1.0,179.95,210.8,0.16,17.55,843.18,134.91,960.54,,MKS-01
13d1d045,27-Jun-2025,Kajiado,Athi River,School/CBO ,m-pesa,MILK-500ML,Fresh Milk 500ml,SUP-005,Kiambu Fresh Foods,129,5,124,0,67,129,1,0.969,63.45,75.4,0.16,8.98,377.02,60.32,428.37,,MKS-01
1bec72a8,2025-02-14,Nairobi,Thika Rd,Supermarket,30-DAY CREDIT,BIS-200G,Biscuits 200g,SUP-003,Coastal Agro Traders,219,7,212,0,76,348,9,0.823,114.42,135.8,0.0,0.0,950.63,0.0,950.63,,NRB-02
75e88336,21-Apr-2025,Nairobi,CBD,Kiosk  ,15-DAY CREDIT,TEA-250G,Black Tea 250g,SUP-003,Coastal Agro Traders,193,9,184,0,75,133,2,0.874,208.35,237.89,0.08,0.0,2140.99,171.28,2312.27,,NRB01
340563ea,17-Feb-2025,Kajiado,Kasarani,supermarket  ,cash,COIL-1L,Sunflower Oil 1L,SUP-005,Kiambu Fresh Foods,150,10,140,0,43,127,3,0.747,305.12,352.59,0.0,5.31,3525.86,0.0,3520.55,,KBU-01
771fa3c8,01-Apr-2025,Machakos,Kasarani,WHOLESALER  ,30-day credit,SPICE-50G,Mixed Spices 50g,SUP-004,Rift Valley Wholesale,147,6,141,0,66,127,4,0.855,74.11,85.46,0.08,3.08,512.77,41.02,550.71,,NRB-01
c070ece0,02/02/2025,Machakos,Thika Rd,Hotel/Restaurant  ,15-day credit,TEA-250G,Black Tea 250g,SUP-003,Coastal Agro Traders,135,12,123,0,74,328,3,0.812,234.07,278.81,0.0,4.63,3345.67,0.0,3341.04,,MKS-01
d2ca8638,06-16-2025,Kajiado,Thika Rd,school/cbo ,Cash,LENT-1KG,Red Lentils 1kg,SUP-003,Coastal Agro Traders,247,5,242,0,78,193,5,0.935,332.25,400.21,0.16,0.0,2001.05,320.17,2321.22,,nrb-03
080a1d17,14/06/2025,Machakos,Athi River,kiosk,30-DAY CREDIT,BREAD-800G,Brown Bread 800g,SUP-002,Juja Foods Distributors,141,12,129,0,62,277,9,0.764,90.09,111.69,0.0,0.0,1340.29,0.0,1340.29,,nrb-03
aa60dc32,06-04-2025,Machakos,Ruiru,Supermarket ,m-pesa,MILK-500ML,Fresh Milk 500ml,SUP-004,Rift Valley Wholesale,229,13,216,0,40,328,8,0.866,67.4,83.63,0.0,5.93,1087.16,0.0,1081.23,,nrb-03
43238970,30-Jun-2025,Kajiado,Athi River,KIOSK ,m-pesa,COFF-250G,Ground Coffee 250g,SUP-001,Unga Suppliers Ltd,174,14,160,0,69,203,3,0.92,373.4,440.53,0.16,10.0,6167.45,986.79,7144.24,,KBU-01
c8dd49a0,22-Jun-2025,Kiambu,CBD,Supermarket,bank transfer,BEANS-2KG,Rosecoco Beans 2kg,SUP-003,Coastal Agro Traders,175,13,162,0,74,315,5,0.904,434.39,510.01,0.08,7.43,6630.13,530.41,7153.12,,NRB-02
995bb42d,07/04/2025,Kiambu,CBD,WHOLESALER ,m-pesa,EGGS-30,Eggs Tray 30s,SUP-002,Juja Foods Distributors,350,10,340,0,75,317,5,1.0,497.32,578.65,0.0,0.0,5786.46,0.0,5786.46,,NRB01
f88d6e35,23/04/2025,Nairobi,Donholm,SUPERMARKET  ,15-day Credit,DETER-1KG,Detergent 1kg,SUP-004,Rift Valley Wholesale,162,9,153,0,52,100,4,0.904,325.86,362.22,0.0,13.99,3260.02,0.0,3246.03,,MKS-01
850172c9,25-May-2025,Kiambu,Athi River,WHOLESALER,Cash,DETER-1KG,Detergent 1kg,SUP-005,Kiambu Fresh Foods,265,4,261,0,55,174,4,0.957,340.68,395.09,0.0,0.0,1580.36,0.0,1580.36,,NRB-02
aea4ab02,2025-04-24,Machakos,Lang'ata,wholesaler,M-Pesa,SPICE-50G,Mixed Spices 50g,SUP-001,Unga Suppliers Ltd,310,7,303,0,50,148,7,0.881,74.65,86.17,0.08,3.84,603.18,48.25,647.59,,KJD-01
65ed4e9e,04/03/2025,Kajiado,Ruiru,Kiosk  ,cash,TEA-250G,Black Tea 250g,SUP-005,Kiambu Fresh Foods,133,9,124,0,47,356,4,1.0,215.7,264.33,0.16,0.0,2378.99,380.64,2759.63,check stock variance,NRB01
95ed83d5,05/06/2025,Machakos,Donholm,HOTEL/RESTAURANT  ,15-day Credit,MILK-500ML,Fresh Milk 500ml,SUP-004,Rift Valley Wholesale,273,8,265,0,53,354,1,0.863,69.13,81.51,0.16,0.0,652.06,104.33,756.39,,KJD-01
209e1798,01-Jul-2025,Machakos,Athi River,SUPERMARKET  ,cash,SALT-1KG,Iodized Salt 1kg,SUP-003,Coastal Agro Traders,229,12,217,0,65,384,6,0.887,46.7,57.31,0.0,16.25,687.71,0.0,671.46,,NRB-01
a454d5a3,12/05/2025,Kajiado,Donholm,SUPERMARKET  ,cash,LENT-1KG,Red Lentils 1kg,SUP-004,Rift Valley Wholesale,209,8,201,0,61,308,3,1.0,380.8,431.42,0.16,0.0,3451.33,552.21,4003.54,,NRB01
5f57d6aa,2025-04-27,Kajiado,Lang'ata,KIOSK ,m-pesa,MILK-500ML,Fresh Milk 500ml,SUP-004,Rift Valley Wholesale,32,9,23,0,70,133,9,0.95,69.31,77.46,0.16,0.0,697.17,111.55,808.72,,KBU-01
873e5086,15/07/2025,Kajiado,Industrial Area,Kiosk ,M-Pesa,LENT-1KG,Red Lentils 1kg,SUP-003,Coastal Agro Traders,271,6,265,0,57,289,5,0.856,367.67,431.69,0.08,4.9,2590.15,207.21,2792.47,,NRB-02
adc33f99,25/07/2025,Kajiado,Athi River,kiosk ,M-PESA,BREAD-800G,Brown Bread 800g,SUP-002,Juja Foods Distributors,201,6,195,0,64,197,6,0.892,95.98,115.97,0.16,12.99,695.82,111.33,794.16,,KJD-01
94054f7e,25-May-2025,Kajiado,Lang'ata,school/cbo  ,cash,SOAP-1PC,Laundry Soap 1pc,SUP-003,Coastal Agro Traders,268,5,263,0,38,300,3,0.827,79.95,95.11,0.08,8.44,475.53,38.04,505.14,,KJD-01
9cbe49db,03/07/2025,Machakos,Eastleigh,SCHOOL/CBO  ,30-DAY CREDIT,EGGS-30,Eggs Tray 30s,SUP-001,Unga Suppliers Ltd,93,9,84,0,78,111,7,0.908,554.72,621.58,0.16,18.07,5594.19,895.07,6471.19,,NRB01
f7b77cd9,17/04/2025,Kiambu,Industrial Area,school/cbo  ,CASH,SOAP-1PC,Laundry Soap 1pc,SUP-001,Unga Suppliers Ltd,249,10,239,0,36,236,5,0.887,85.44,96.3,0.0,0.0,963.02,0.0,963.02,,NRB-01
d768898a,27-Mar-2025,Nairobi,CBD,supermaket,30-day credit,COFF-250G,Ground Coffee 250g,SUP-003,Coastal Agro Traders,190,9,181,0,55,282,7,0.767,354.28,426.71,0.16,0.0,3840.38,614.46,4454.84,,MKS-01
c66238b7,02-06-2025,Kiambu,Ruiru,Hotel/Restaurant  ,m-pesa,EGGS-30,Eggs Tray 30s,SUP-004,Rift Valley Wholesale,355,9,346,0,39,164,3,0.871,493.83,571.66,0.16,9.73,5144.91,823.19,5958.36,,NRB01
84f49223,08-Mar-2025,Kiambu,Thika Rd,supermarket  ,M-Pesa,COFF-250G,Ground Coffee 250g,SUP-004,Rift Valley Wholesale,183,8,175,0,66,297,6,0.915,357.17,444.12,0.16,0.0,3552.98,568.48,4121.45,,MKS-01
ee0d6e79,07-26-2025,Machakos,Industrial Area,Wholesaler ,Bank Transfer,BEANS-2KG,Rosecoco Beans 2kg,SUP-004,Rift Valley Wholesale,285,10,275,0,53,102,3,0.861,438.79,505.71,0.16,7.68,5057.12,809.14,5858.57,,MKS-01
815c24d8,03-25-2025,Nairobi,Thika Rd,SCHOOL/CBO,bank transfer,LENT-1KG,Red Lentils 1kg,SUP-002,Juja Foods Distributors,237,12,225,0,37,350,4,1.0,336.21,390.43,0.0,14.72,4685.16,0.0,4670.44,,MKS-01
6409a72d,24/04/2025,Kiambu,Athi River,SUPERMARKET,cash,MF-2KG,Maize Flour 2kg,SUP-002,Juja Foods Distributors,161,12,149,0,42,144,4,0.975,210.71,259.23,0.0,16.99,3110.71,0.0,3093.72,,NRB-02
eb8eb5ae,2025-02-17,Kajiado,Westlands,School/CBO,cash,CHICK-1KG,Frozen Chicken 1kg,SUP-001,Unga Suppliers Ltd,270,7,263,0,65,357,5,0.989,612.21,756.88,0.08,11.93,5298.16,423.85,5710.08,,nrb-03
511f0511,2025-06-09,Machakos,Ruiru,SCHOOL/CBO  ,15-day Credit,SODA-500ML,Soda 500ml,SUP-004,Rift Valley Wholesale,271,6,265,0,58,377,4,0.912,57.8,64.7,0.16,0.0,388.19,62.11,450.3,,NRB-02
e70c8c97,2025-03-14,Machakos,Kasarani,Wholesaler  ,CASH,COIL-1L,Sunflower Oil 1L,SUP-003,Coastal Agro Traders,224,6,218,0,64,106,7,0.868,338.04,422.05,0.0,0.0,2532.33,0.0,2532.33,,nrb-03
674c4145,04/07/2025,Nairobi,Lang'ata,Hotel/Restaurant ,30-DAY CREDIT,COIL-1L,Sunflower Oil 1L,SUP-004,Rift Valley Wholesale,186,10,176,0,76,183,2,0.793,329.24,394.49,0.16,0.0,3944.9,631.18,4576.08,,MKS-01
24891877,03-19-2025,Machakos,Westlands,School/CBO  ,M-PESA,CHICK-1KG,Frozen Chicken 1kg,SUP-005,Kiambu Fresh Foods,158,11,147,0,36,280,4,0.806,598.14,671.74,0.08,8.38,7389.09,591.13,7971.83,,NRB-01
6cc72f17,2025-05-06,Machakos,CBD,WHOLESALER,30-DAY CREDIT,BEANS-2KG,Rosecoco Beans 2kg,SUP-004,Rift Valley Wholesale,161,6,155,0,37,376,6,0.888,425.51,485.23,0.16,14.81,2911.37,465.82,3362.38,,NRB-02
5451f61d,04-16-2025,Kajiado,Industrial Area,SUPERMARKET,Cash,BEANS-2KG,Rosecoco Beans 2kg,SUP-005,Kiambu Fresh Foods,158,11,147,0,39,341,5,0.757,418.81,473.91,0.08,0.0,5213.01,417.04,5630.06,,NRB01
ea9989b2,05-08-2025,Kiambu,CBD,Wholesaler ,30-day Credit,COIL-1L,Sunflower Oil 1L,SUP-001,Unga Suppliers Ltd,302,9,293,0,79,303,7,0.928,328.72,408.52,0.16,13.38,3676.64,588.26,4251.52,,KBU-01
2d24efd7,03-13-2025,Nairobi,Kasarani,Supermarket ,30-DAY CREDIT,BIS-200G,Biscuits 200g,SUP-003,Coastal Agro Traders,240,9,231,0,41,124,4,0.93,118.82,143.62,0.08,14.7,1292.6,103.41,1381.31,,KBU-01
3c9def22,03/05/2025,Kiambu,Kasarani,School/CBO,M-PESA,BREAD-800G,Brown Bread 800g,SUP-001,Unga Suppliers Ltd,170,6,164,0,64,192,11,0.806,92.21,106.02,0.16,14.63,636.14,101.78,723.3,,NRB-02
98276aeb,03-12-2025,Machakos,Kasarani,school/cbo  ,30-day Credit,SOAP-1PC,Laundry Soap 1pc,SUP-005,Kiambu Fresh Foods,177,11,166,0,44,361,3,0.805,82.88,97.22,0.08,0.0,1069.44,85.56,1155.0,check stock variance,NRB-01
90f1b5f8,2025-06-28,Kajiado,Ruiru,SCHOOL/CBO,15-day credit,SUGAR-2KG,Brown Sugar 2kg,SUP-005,Kiambu Fresh Foods,232,9,223,0,68,183,4,0.819,369.85,434.14,0.16,0.0,3907.26,625.16,4532.42,,MKS-01
a0b2cb14,25/05/2025,Nairobi,Eastleigh,school/cbo ,bank transfer,SODA-500ML,Soda 500ml,SUP-001,Unga Suppliers Ltd,219,7,212,0,43,179,1,0.918,52.67,64.91,0.16,8.59,454.39,72.7,518.5,,NRB01
127e0ba5,02-20-2025,Kiambu,Kasarani,hotel/restaurant,CASH,SPICE-50G,Mixed Spices 50g,SUP-004,Rift Valley Wholesale,169,600,157,0,38,392,5,0.891,74.08,87.69,0.08,5.44,1052.27,84.18,1131.01,,NRB-02
1136a1b4,05-04-2025,Machakos,Westlands,Supermarket,30-day Credit,MILK-500ML,Fresh Milk 500ml,SUP-005,Kiambu Fresh Foods,137,7,130,0,60,283,1,1.0,63.16,78.7,0.0,3.83,550.87,0.0,547.04,,KJD-01
a9fc78ac,08/05/2025,Kiambu,Athi River,hotel/restaurant  ,15-DAY CREDIT,SALT-1KG,Iodized Salt 1kg,SUP-001,Unga Suppliers Ltd,172,6,166,0,76,389,3,0.893,42.76,51.72,0.16,0.0,310.31,49.65,359.96,,NRB-01
d2f78840,07-23-2025,Kiambu,Kasarani,hotel/restaurant,30-day Credit,SPICE-50G,Mixed Spices 50g,SUP-002,Juja Foods Distributors,198,10,188,0,35,162,4,0.923,65.59,78.63,0.08,8.91,786.26,62.9,840.25,,KBU-01
7c2ce227,14/03/2025,Machakos,Industrial Area,School/CBO ,m-pesa,SPICE-50G,Mixed Spices 50g,SUP-001,Unga Suppliers Ltd,295,14,281,0,62,323,3,0.809,68.04,78.58,0.16,0.0,1100.1,176.02,1276.12,,KJD-01
4ebfbc01,2025-07-17,Machakos,Industrial Area,KIOSK,M-PESA,SUGAR-2KG,Brown Sugar 2kg,SUP-003,Coastal Agro Traders,163,11,152,0,44,142,6,0.94,351.49,399.61,0.0,0.0,4395.75,0.0,4395.75,,KBU-01
7d05c6cc,15/04/2025,Kajiado,Industrial Area,school/cbo,15-day Credit,MILK-500ML,Fresh Milk 500ml,SUP-005,Kiambu Fresh Foods,227,10,217,0,37,243,9,0.918,61.82,69.55,0.0,0.0,695.48,0.0,695.48,,MKS-01
b5c18c48,2025-06-28,Machakos,Eastleigh,WHOLESALER  ,M-PESA,MILK-500ML,Fresh Milk 500ml,SUP-003,Coastal Agro Traders,171,8,163,0,49,362,4,0.981,65.7,74.8,0.16,8.17,598.39,95.74,685.96,,KBU-01
c8486c65,2025-04-30,Machakos,Industrial Area,hotel/restaurant,M-Pesa,JUICE-1L,Mango Juice 1L,SUP-003,Coastal Agro Traders,182,12,170,0,54,245,7,0.86,188.08,214.64,0.16,15.87,2575.68,412.11,2971.92,,MKS-01
df8bb6c1,2025-04-17,Kajiado,Westlands,kiosk  ,m-pesa,DETER-1KG,Detergent 1kg,SUP-002,Juja Foods Distributors,225,6,219,0,38,177,3,0.911,357.95,426.34,0.0,0.0,2558.05,0.0,2558.05,,NRB-02
6e96a474,25-May-2025,Kajiado,Donholm,SUPERMARKET ,Cash,SODA-500ML,Soda 500ml,SUP-003,Coastal Agro Traders,177,9,168,0,66,263,4,0.859,56.97,67.61,0.0,0.0,608.53,0.0,608.53,,KBU-01
79afb265,25-May-2025,Machakos,Lang'ata,supermarket  ,cash,SODA-500ML,Soda 500ml,SUP-001,Unga Suppliers Ltd,139,10,129,0,52,271,6,1.0,54.62,61.64,0.0,0.0,616.42,0.0,616.42,,MKS-01
4310db72,2025-07-21,Kiambu,Athi River,kiosk ,M-PESA,WATER-1L,Drinking Water 1L,SUP-005,Kiambu Fresh Foods,59,9,50,0,57,214,4,0.905,47.32,52.06,0.0,0.0,468.52,0.0,468.52,,NRB-01
1de4df05,2025-04-24,Machakos,Donholm,kiosk  ,15-day Credit,SUGAR-2KG,Brown Sugar 2kg,SUP-005,Kiambu Fresh Foods,246,8,238,0,70,357,5,0.95,328.59,372.65,0.0,0.0,2981.23,0.0,2981.23,,nrb-03
234906ad,03-19-2025,Nairobi,Ruiru,SUPERMARKET  ,bank transfer,DETER-1KG,Detergent 1kg,SUP-002,Juja Foods Distributors,157,12,145,0,43,172,5,0.87,359.76,424.47,0.0,14.82,5093.66,0.0,5078.84,,KBU-01
ca497e08,03-30-2025,Kiambu,CBD,Kiosk  ,M-Pesa,WATER-1L,Drinking Water 1L,SUP-005,Kiambu Fresh Foods,167,12,155,0,33,124,4,0.895,44.05,48.9,0.08,4.91,586.82,46.95,628.85,,MKS-01
74e4cbd4,28/05/2025,Machakos,Industrial Area,SUPERMARKET  ,Bank Transfer,BIS-200G,Biscuits 200g,SUP-005,Kiambu Fresh Foods,158,8,150,0,60,155,4,0.858,122.88,137.97,0.08,0.0,1103.8,88.3,1192.1,,nrb-03
9e31b439,03-30-2025,Kiambu,Kasarani,HOTEL/RESTAURANT  ,bank transfer,SALT-1KG,Iodized Salt 1kg,SUP-002,Juja Foods Distributors,95,5,90,0,66,320,5,1.0,45.07,56.31,0.16,17.24,281.56,45.05,309.37,,MKS-01
5ef0ab63,2025-02-08,Machakos,Athi River,kiosk  ,15-day Credit,EGGS-30,Eggs Tray 30s,SUP-002,Juja Foods Distributors,223,10,213,0,68,164,7,0.965,489.53,569.22,0.0,9.88,5692.22,0.0,5682.34,,KJD-01
8fc4db96,28-May-2025,Kajiado,Lang'ata,wholesaler  ,Bank Transfer,COFF-250G,Ground Coffee 250g,SUP-003,Coastal Agro Traders,170,10,160,0,64,332,7,0.922,369.34,447.12,0.0,0.0,4471.25,0.0,4471.25,,NRB-02
b5b026bc,04/04/2025,Nairobi,Kasarani,school/cbo  ,15-day credit,MILK-500ML,Fresh Milk 500ml,SUP-003,Coastal Agro Traders,216,11,205,0,52,272,6,0.932,66.43,79.64,0.08,0.0,876.03,70.08,946.12,,NRB01
0fbbda7d,21-Apr-2025,Kajiado,Ruiru,kiosk,30-day Credit,SODA-500ML,Soda 500ml,SUP-002,Juja Foods Distributors,159,6,153,0,60,327,7,0.854,50.91,59.89,0.08,17.84,359.33,28.75,370.24,,NRB-01
4fa11c1f,15/05/2025,Machakos,Kasarani,wholesaler  ,bank transfer,MF-2KG,Maize Flour 2kg,SUP-001,Unga Suppliers Ltd,158,7,151,0,31,148,6,0.84,210.49,259.92,0.0,0.0,1819.46,0.0,1819.46,,NRB01
0503414b,2025-03-22,Machakos,CBD,hotel/restaurant ,CASH,COIL-1L,Sunflower Oil 1L,SUP-004,Rift Valley Wholesale,147,12,135,0,38,252,6,0.751,311.72,386.29,0.16,0.0,4635.44,741.67,5377.11,,NRB-02
d860b656,06-10-2025,Machakos,,school/cbo  ,Cash,BREAD-800G,Brown Bread 800g,SUP-004,Rift Valley Wholesale,229,12,217,0,52,335,6,0.89,93.67,109.51,0.16,14.89,1314.13,210.26,1509.5,,MKS-01
3b378364,01-Jul-2025,K1ambu,Westlands,Wholesaler  ,CASH,MF-2KG,Maize Flour 2kg,SUP-005,Kiambu Fresh Foods,178,7,171,0,72,288,6,1.0,210.2,257.72,0.16,11.74,1804.06,288.65,2080.97,,KJD-01
d168826b,13-Jun-2025,Nairobi,CBD,School/CBO ,30-DAY CREDIT,BIS-200G,Biscuits 200g,SUP-005,Kiambu Fresh Foods,277,7,270,0,39,330,4,1.0,115.14,139.2,0.16,7.69,974.37,155.9,1122.58,,NRB-01
6b4b9b11,06-23-2025,Kiambu,Lang'ata,wholesaler ,bank transfer,TEA-250G,Black Tea 250g,SUP-005,Kiambu Fresh Foods,256,12,244,0,49,123,4,0.875,206.79,239.42,0.08,10.59,2873.07,229.85,3092.33,,MKS-01
bde28728,02-11-2025,Kiambu,Lang'ata,WHOLESALER ,Cash,SPICE-50G,Mixed Spices 50g,SUP-004,Rift Valley Wholesale,166,6,160,0,33,353,5,1.0,70.99,83.21,0.0,0.0,499.25,0.0,499.25,,NRB01
d8aa849f,01-Apr-2025,Nairobi,Thika Rd,KIOSK,Bank Transfer,CHICK-1KG,Frozen Chicken 1kg,SUP-005,Kiambu Fresh Foods,179,8,171,0,59,282,3,0.955,641.77,748.32,0.0,12.21,5986.57,0.0,5974.36,check stock variance,NRB-01
845f19e0,16/07/2025,Machakos,Lang'ata,Kiosk,cash,DETER-1KG,Detergent 1kg,SUP-004,Rift Valley Wholesale,208,14,194,0,48,134,1,0.972,332.33,383.62,0.0,7.31,5370.69,0.0,5363.38,,KBU-01
37cbf9c8,06-25-2025,Nairobi,Lang'ata,HOTEL/RESTAURANT ,M-Pesa,DETER-1KG,Detergent 1kg,SUP-002,Juja Foods Distributors,188,10,178,0,60,183,5,0.909,325.21,368.72,0.08,9.62,3687.15,294.97,3972.5,,NRB01
