sale_id,date,store,product_id,product_name,qty,price
S100043,2025-05-22,Kisumu Store,SKU0051,Product 92,8,10.34
S100044,2024-07-21,Nakuru,SKU0047,Product 30,3,19.0
S100045,2024-11-29,Nakuru,SKU0044,Product 100,1,12.64
S100046,2024-05-06,Nakuru,SKU0096,Product 43,2,14.75
S100047,2024-09-24,Nairobi_CBD,SKU0089,Product 95,4,19.05
S100048,2024-07-19,Mombasa-Store,SKU0076,PRODUCT 18  ,5,11.74
S100049,2025-03-06,Nakuru,SKU0095,Product 21,6,17.82
S100050,2025-06-10,Nakuru,SKU0060,Product 22,1,10.88
S100051,2025-05-19,Nakuru,SKU0031,Product 52,5,14.88
S100052,2025-08-01,Kisumu Store,SKU0095,Product 90,3,11.23
S100053,2024-09-18,Nairobi_CBD,SKU0032,Product 20,6,15.22
S100054,2024-10-09,Mombasa-Store,SKU0004,Product 93,2,12.53
S100055,2025-03-24,Mombasa-Store,SKU0025,Product 73,2,12.85
S100056,2024-02-18,Mombasa-Store,sku0042,Product 22,3,23.09
S100057,2024-07-08,Nakuru,SKU0071,PRODUCT 8  ,1,18.25
S100058,2024-12-28,Mombasa-Store,SKU0038,Product 12,4,19.25
S100059,2024-08-20,Nairobi_CBD,sku0057,Product 81,1,
S100060,2025-07-24,Thika.Branch,SKU0014,PRODUCT 6  ,2,14.43
S100061,2025-07-11,Nakuru,SKU0052,Product 20,6,11.84
S100062,2024-04-18,Nakuru,SKU0021,Product 83,2,13.4
S100063,2025-06-03,Thika.Branch,SKU0097,Product 90,5,12.24
S100064,2024-11-19,Kisumu Store,SKU0053,Product 83,2,14.05
S100065,2025-02-15,Nakuru,SKU0089,Product 82,3,14.68
S100066,2024-04-14,Nakuru,SKU0019,Product 60,4,13.63
S100067,2025-01-11,Kisumu Store,SKU0078,Product 25,5,
S100068,2025-01-21,Thika.Branch,sku0025,Product 81,2,17.66
S100069,2024-03-21,Thika.Branch,sku0063,PRODUCT 22  ,2,14.31
S100070,2025-07-27,Thika.Branch,SKU0048,Product 99,4,13.99
S100071,2024-10-03,Kisumu Store,SKU0057,Product 53,4,11.98
S100072,2024-07-06,Mombasa-Store,SKU0079,PRODUCT 38  ,4,15.5
S100073,2024-07-13,Kisumu Store,SKU0028,Product 44,2,13.85
S100074,2024-04-27,Nairobi_CBD,SKU0013,Product 51,4,21.18
S100075,2024-01-07,Mombasa-Store,SKU0032,Product 94,4,15.86
S100076,2024-07-20,Mombasa-Store,sku0070,Product 38,2,15.82
S100077,2024-05-05,Mombasa-Store,SKU0008,Product 98,4,12.15
S100078,2025-03-15,Nakuru,SKU0067,Product 73,2,11.04
S100079,2025-01-10,Mombasa-Store,SKU0097,Product 17,4,17.98
S100080,2024-12-28,Thika.Branch,sku0046,Product 1,3,11.07
S100081,2024-09-18,Nakuru,SKU0033,Product 41,2,11.29
S100082,2024-03-27,Kisumu Store,SKU0066,Product 82,3,10.47
S100083,2024-02-28,Mombasa-Store,SKU0075,Product 90,4,13.14
S100084,2024-10-31,Mombasa-Store,SKU0098,Product 26,4,17.97
S100085,2025-01-13,Kisumu Store,SKU0068,Product 95,2,11.71
S100086,2025-06-16,Mombasa-Store,SKU0091,Product 38,5,20.17
S100087,2024-10-06,Mombasa-Store,SKU0009,PRODUCT 87  ,4,10.93
S100088,2024-04-08,Nakuru,SKU0071,Product 72,3,15.16
S100089,2025-06-03,Nairobi_CBD,SKU0019,Product 14,5,13.27
S100090,2024-03-04,Nairobi_CBD,SKU0050,Product 90,1,25.22
S100091,2025-07-12,Thika.Branch,SKU0083,Product 97,3,17.51
S100092,2024-07-02,Mombasa-Store,SKU0040,Product 96,2,13.81
S100093,2024-05-26,Nairobi_CBD,SKU0055,Product 72,4,11.4
S100094,2024-08-15,Thika.Branch,SKU0093,Product 88,2,12.26
S100095,2024-08-03,Kisumu Store,SKU0004,Product 46,2,18.21
S100096,2024-03-22,Kisumu Store,SKU0033,Product 19,4,14.68
S100097,2024-06-11,Thika.Branch,SKU0091,Product 24,4,11.53
S100098,2024-05-26,Nairobi_CBD,SKU0044,Product 62,2,11.47
S100099,2024-01-13,Nairobi_CBD,SKU0034,Product 94,2,16.67
S100100,2024-11-15,Kisumu Store,SKU0028,Product 66,4,11.4
S100101,2024-07-12,Kisumu Store,SKU0026,Product 11,2,15.9
S100102,2025-07-02,Thika.Branch,SKU0008,PRODUCT 23  ,3,10.62
S100103,2024-07-06,Nakuru,SKU0005,Product 42,2,12.78
S100104,2025-01-18,Nakuru,sku0064,Product 36,5,14.6
S100105,2024-03-15,Mombasa-Store,SKU0006,Product 78,2,11.12
S100106,2025-01-09,Nakuru,SKU0081,Product 47,2,19.97
S100107,2024-11-17,Nakuru,SKU0003,Product 67,3,13.07
S100108,2025-05-22,Mombasa-Store,SKU0038,Product 35,1,20.04
S100109,2025-07-20,Mombasa-Store,SKU0066,Product 62,3,14.81
S100110,2025-06-16,Kisumu Store,SKU0093,PRODUCT 37  ,4,10.89
S100111,2024-10-07,Thika.Branch,SKU0047,Product 44,2,10.62
S100112,2025-03-21,Mombasa-Store,SKU0072,Product 58,1,10.54
S100113,2024-01-14,Thika.Branch,SKU0060,Product 92,4,15.52
S100114,2024-01-30,Thika.Branch,SKU0022,Product 6,2,16.42
S100115,2025-04-15,Kisumu Store,SKU0013,Product 68,2,16.08
S100116,2025-07-14,Kisumu Store,SKU0067,Product 40,3,15.82
S100117,2024-06-02,Nakuru,SKU0062,Product 71,2,16.68
S100118,2024-06-05,Mombasa-Store,SKU0087,Product 71,5,12.4
S100119,2024-05-16,Thika.Branch,SKU0071,Product 27,3,12.87
S100120,2025-02-24,Mombasa-Store,SKU0053,Product 36,5,11.63
S100121,2025-04-15,Mombasa-Store,SKU0045,Product 24,1,14.78
S100122,2024-01-13,Kisumu Store,SKU0024,Product 59,3,13.11
S100123,2025-06-06,Kisumu Store,SKU0045,Product 16,2,16.08
S100124,2024-04-10,Nakuru,SKU0026,Product 89,4,15.08
S100125,2025-05-10,Nairobi_CBD,SKU0025,Product 23,4,17.02
S100126,2024-01-13,Mombasa-Store,SKU0006,Product 79,2,13.04
S100127,2024-11-24,Kisumu Store,SKU0045,Product 33,4,10.74
S100128,2024-09-30,Mombasa-Store,SKU0026,Product 71,6,13.36
S100129,2025-06-23,Kisumu Store,SKU0043,Product 19,3,10.82
S100130,2024-11-08,Nakuru,sku0003,Product 74,3,14.89
S100131,2025-08-08,Mombasa-Store,SKU0009,Product 48,4,17.56
S100132,2025-02-01,Kisumu Store,SKU0048,Product 37,1,17.63
S100133,2024-01-17,Thika.Branch,sku0006,Product 59,3,16.17
S100134,2024-04-28,Mombasa-Store,SKU0039,Product 82,5,17.06
S100135,2024-06-23,Kisumu Store,SKU0070,Product 95,5,13.75
S100136,2025-06-02,Mombasa-Store,SKU0068,Product 15,2,15.9
S100137,2025-06-11,Kisumu Store,SKU0040,Product 14,2,14.71
S100138,2025-05-18,Nairobi_CBD,SKU0023,Product 75,5,18.31
S100139,2024-07-13,Nakuru,SKU0030,Product 19,3,12.9
S100140,2024-04-13,Thika.Branch,SKU0076,Product 87,5,16.25
S100141,2024-08-20,Nakuru,SKU0069,Product 21,6,19.86
S100142,2025-04-05,Nairobi_CBD,SKU0098,PRODUCT 88  ,3,17.69
S100143,2025-05-05,Kisumu Store,sku0099,Product 48,4,15.2
S100144,2024-01-05,Mombasa-Store,SKU0036,Product 20,5,11.83
S100145,2024-09-04,Thika.Branch,SKU0002,Product 66,2,12.42
S100146,2024-01-15,Mombasa-Store,SKU0067,Product 34,1,12.19
S100147,2024-10-28,Nairobi_CBD,SKU0060,Product 78,7,12.92
S100148,2025-03-03,Nakuru,SKU0087,Product 47,2,12.0
S100149,2024-11-26,Kisumu Store,SKU0081,Product 88,3,16.16
S100150,2024-09-30,Thika.Branch,SKU0096,Product 47,5,18.49
S100151,2024-06-02,Kisumu Store,SKU0066,Product 32,2,13.31
S100152,2024-05-04,Thika.Branch,SKU0009,Product 95,1,14.68
S100153,2024-01-08,Nakuru,SKU0042,Product 55,6,14.8
S100154,2025-08-18,Nakuru,SKU0011,Product 96,3,17.43
S100155,2024-03-14,Nakuru,SKU0026,Product 85,4,11.6
S100156,2024-06-03,Nairobi_CBD,SKU0087,Product 25,4,10.8
S100157,2025-03-26,Nairobi_CBD,SKU0038,PRODUCT 96  ,1,17.62
S100158,2024-11-22,Mombasa-Store,SKU0088,Product 65,2,29.48
S100159,2024-12-24,Thika.Branch,sku0064,Product 13,3,17.32
S100160,2024-11-19,Mombasa-Store,SKU0033,Product 94,4,20.35
S100161,2024-11-10,Mombasa-Store,SKU0036,Product 21,5,14.96
S100162,2025-08-02,Nakuru,SKU0074,Product 80,2,13.04
S100163,2024-10-08,Kisumu Store,sku0077,PRODUCT 74  ,4,14.43
S100164,2024-06-02,Mombasa-Store,sku0017,Product 96,2,15.4
S100165,2024-04-18,Kisumu Store,sku0058,Product 81,5,11.26
S100166,2025-05-08,Kisumu Store,SKU0078,Product 64,2,16.43
S100167,2024-09-27,Mombasa-Store,SKU0048,PRODUCT 21  ,1,14.1
S100168,2025-06-19,Nakuru,SKU0013,Product 27,3,16.5
S100169,2025-03-08,Nairobi_CBD,SKU0053,Product 10,2,13.72
S100170,2024-12-22,Mombasa-Store,SKU0009,Product 42,3,14.45
S100171,2024-03-25,Kisumu Store,SKU0036,Product 98,3,23.29
S100172,2024-12-08,Kisumu Store,SKU0042,Product 86,2,
S100173,2024-07-24,Nakuru,SKU0074,Product 66,4,14.6
S100174,2024-01-22,Mombasa-Store,SKU0024,Product 6,1,17.38
S100175,2024-07-20,Kisumu Store,SKU0097,Product 83,4,12.32
S100176,2025-04-24,Nakuru,SKU0043,Product 2,1,12.67
S100177,2025-05-19,Thika.Branch,SKU0020,Product 24,1,20.75
S100178,2024-07-09,Mombasa-Store,SKU0053,PRODUCT 52  ,4,17.78
S100179,2024-04-05,Mombasa-Store,SKU0009,Product 8,5,13.56
S100180,2025-01-12,Nairobi_CBD,SKU0092,Product 7,1,11.37
S100181,2024-05-20,Nakuru,sku0077,Product 13,5,12.1
S100182,2024-06-23,Mombasa-Store,SKU0057,Product 29,3,12.06
S100183,2025-04-18,Kisumu Store,SKU0062,Product 75,3,12.24
S100184,2024-02-12,Kisumu Store,SKU0072,Product 90,2,14.06
S100185,2024-09-26,Thika.Branch,SKU0005,Product 80,2,19.22
S100186,2024-06-16,Nairobi_CBD,SKU0024,Product 44,2,10.27
S100187,2024-07-11,Mombasa-Store,SKU0031,PRODUCT 26  ,1,25.62
S100188,2024-04-04,Kisumu Store,SKU0014,Product 87,3,12.94
S100189,2025-01-10,Nairobi_CBD,sku0059,Product 45,2,13.15
S100190,2025-08-17,Nakuru,sku0075,Product 94,3,14.13
S100191,2024-04-22,Thika.Branch,SKU0020,Product 53,3,11.42
S100192,2024-05-19,Mombasa-Store,SKU0004,Product 42,1,17.13
S100193,2024-04-27,Thika.Branch,SKU0030,PRODUCT 62  ,4,14.17
S100194,2024-07-15,Nairobi_CBD,SKU0003,Product 69,2,11.23
S100195,2025-07-12,Nakuru,SKU0061,Product 94,1,13.07
S100196,2025-04-21,Kisumu Store,SKU0006,Product 8,5,14.36
S100197,2024-01-29,Nairobi_CBD,SKU0018,Product 4,1,13.81
S100198,2024-11-17,Nairobi_CBD,sku0075,Product 88,4,13.02
S100199,2024-11-13,Mombasa-Store,SKU0035,Product 8,2,11.21
S100200,2024-07-22,Kisumu Store,SKU0087,Product 16,2,17.73
S100201,2025-01-21,Nakuru,SKU0010,Product 67,1,12.87
S100202,2025-08-08,Mombasa-Store,SKU0084,Product 10,2,15.61
S100203,2025-03-14,Thika.Branch,sku0070,PRODUCT 28  ,2,15.52
S100204,2024-04-17,Mombasa-Store,SKU0032,Product 40,1,13.23
S100205,2025-02-17,Thika.Branch,SKU0077,Product 96,2,11.86
S100206,2024-11-21,Kisumu Store,SKU0076,PRODUCT 39  ,4,20.74
S100207,2025-05-22,Thika.Branch,SKU0083,PRODUCT 24  ,2,14.79
S100208,2024-11-10,Nakuru,SKU0069,PRODUCT 4  ,1,21.78
S100209,2025-02-17,Mombasa-Store,SKU0035,PRODUCT 23  ,3,16.89
S100210,2024-06-12,Thika.Branch,sku0022,Product 67,3,18.16
S100211,2024-09-18,Thika.Branch,SKU0053,Product 2,4,12.57
S100212,2025-02-22,Nairobi_CBD,SKU0010,Product 54,2,11.12
S100213,2025-02-12,Thika.Branch,SKU0055,Product 83,2,11.87
S100214,2024-09-04,Mombasa-Store,,Product 72,2,18.39
S100215,2024-02-10,Mombasa-Store,SKU0091,Product 73,2,12.96
S100216,2025-04-24,Nakuru,SKU0064,Product 79,3,13.47
S100217,2024-12-31,Thika.Branch,,Product 33,2,13.17
S100218,2024-11-09,Nairobi_CBD,SKU0099,Product 11,2,11.34
S100219,2025-05-17,Kisumu Store,SKU0007,Product 7,3,15.58
S100220,2025-05-08,Nakuru,SKU0061,PRODUCT 89  ,6,18.09
S100221,2025-01-03,Nakuru,SKU0095,Product 96,4,15.41
S100222,2025-07-23,Kisumu Store,SKU0061,Product 1,4,13.1
S100223,2025-02-23,Mombasa-Store,SKU0063,Product 26,3,18.81
S100224,2024-03-03,Kisumu Store,SKU0042,Product 33,2,12.98
S100225,2024-07-03,Nakuru,SKU0076,Product 62,2,16.98
S100226,2024-03-28,Mombasa-Store,SKU0044,Product 7,2,14.51
S100227,2024-01-03,Mombasa-Store,SKU0053,Product 93,2,
S100228,2024-01-21,Nakuru,SKU0075,Product 9,3,12.39
S100229,2024-05-19,Thika.Branch,SKU0062,Product 90,6,11.4
S100230,2024-11-14,Nakuru,SKU0020,Product 64,2,22.72
S100231,2024-06-01,Mombasa-Store,SKU0096,Product 88,1,13.66
S100232,2024-11-09,Mombasa-Store,SKU0039,Product 43,4,17.93
S100233,2024-05-16,Kisumu Store,sku0085,Product 53,3,18.25
S100234,2025-02-28,Nairobi_CBD,SKU0026,PRODUCT 17  ,1,12.37
S100235,2024-10-11,Kisumu Store,SKU0031,Product 33,7,17.17
S100236,2024-09-03,Nairobi_CBD,SKU0093,Product 50,4,24.81
S100237,2025-03-25,Kisumu Store,SKU0088,Product 73,1,14.08
S100238,2024-08-22,Nakuru,SKU0022,Product 26,3,20.31
S100239,2024-04-24,Nairobi_CBD,SKU0094,Product 93,3,12.75
S100240,2024-09-03,Thika.Branch,SKU0099,Product 77,2,18.09
S100241,2024-04-27,Thika.Branch,SKU0048,Product 16,2,13.5
S100242,2025-04-25,Thika.Branch,SKU0015,Product 32,3,20.96
S100243,2024-12-19,Nakuru,SKU0031,Product 6,4,17.06
S100244,2024-11-12,Thika.Branch,SKU0081,Product 91,4,12.26
S100245,2024-10-08,Thika.Branch,SKU0042,Product 100,2,15.58
S100246,2024-11-09,Nakuru,SKU0100,Product 34,2,15.75
S100247,2025-06-12,Nakuru,SKU0100,Product 99,3,16.54
S100248,2024-03-13,Nakuru,SKU0022,PRODUCT 11  ,5,15.18
S100249,2024-07-17,Thika.Branch,SKU0034,Product 18,6,12.79
S100250,2025-06-25,Nairobi_CBD,SKU0081,Product 99,2,15.0
S100251,2025-01-18,Kisumu Store,SKU0011,Product 71,2,12.32
S100252,2024-07-03,Nairobi_CBD,SKU0043,Product 80,2,12.38
S100253,2024-11-30,Nairobi_CBD,SKU0064,Product 64,6,16.7
S100254,2024-07-24,Nakuru,SKU0053,Product 66,3,13.75
S100255,2025-07-27,Mombasa-Store,SKU0081,Product 43,2,11.47
S100256,2025-02-17,Nairobi_CBD,SKU0033,Product 40,3,12.91
S100257,2024-12-13,Mombasa-Store,SKU0021,Product 41,3,11.52
S100258,2024-11-09,Mombasa-Store,SKU0099,Product 6,2,18.3
S100259,2025-04-29,Nakuru,SKU0067,Product 28,5,20.1
S100260,2025-03-17,Nairobi_CBD,SKU0041,Product 3,3,16.66
S100261,2025-03-20,Kisumu Store,SKU0083,Product 86,7,17.54
S100262,2025-01-20,Thika.Branch,SKU0060,Product 11,3,17.45
S100263,2025-08-15,Kisumu Store,SKU0097,Product 92,4,14.92
S100264,2024-11-13,Nakuru,SKU0083,Product 51,2,20.09
S100265,2024-08-09,Kisumu Store,SKU0053,Product 21,4,22.37
S100266,2025-08-08,Kisumu Store,SKU0046,Product 30,2,10.73
S100267,2024-12-05,Nairobi_CBD,SKU0071,Product 84,5,16.45
S100268,2025-06-17,Mombasa-Store,SKU0098,Product 4,3,10.95
S100269,2025-02-08,Kisumu Store,SKU0007,Product 84,1,17.44
S100270,2025-03-30,Nairobi_CBD,SKU0022,Product 13,6,11.34
S100271,2025-07-03,Mombasa-Store,SKU0003,Product 53,5,19.16
S100272,2025-04-02,Thika.Branch,SKU0026,Product 93,1,14.78
S100273,2024-12-16,Thika.Branch,SKU0001,Product 12,1,
S100274,2025-04-03,Kisumu Store,SKU0095,PRODUCT 48  ,1,17.08
S100275,2024-10-30,Nakuru,SKU0099,Product 15,4,11.22
S100276,2024-07-25,Mombasa-Store,SKU0098,Product 11,2,15.16
S100277,2025-05-29,Nakuru,SKU0002,Product 68,2,16.57
S100278,2024-10-02,Thika.Branch,SKU0036,Product 40,7,14.59
S100279,2025-06-23,Mombasa-Store,SKU0033,Product 82,4,19.66
S100280,2025-04-12,Kisumu Store,SKU0010,Product 80,2,16.59
S100281,2025-04-15,Mombasa-Store,SKU0082,Product 32,6,13.75
S100282,2024-06-30,Kisumu Store,SKU0016,Product 10,3,11.39
S100283,2024-03-04,Nakuru,SKU0023,Product 70,2,11.27
S100284,2024-04-02,Nakuru,SKU0081,Product 67,3,11.47
S100285,2025-03-09,Nairobi_CBD,SKU0061,Product 84,2,13.67
S100286,2025-03-13,Nakuru,SKU0011,Product 49,7,24.65
S100287,2024-05-29,Nairobi_CBD,sku0037,PRODUCT 59  ,3,13.48
S100288,2024-12-05,Mombasa-Store,SKU0086,Product 6,2,11.32
S100289,2024-02-14,Kisumu Store,SKU0062,Product 74,4,11.03
S100290,2025-04-09,Nakuru,SKU0069,Product 62,6,15.02
S100291,2024-10-02,Kisumu Store,SKU0026,Product 47,5,14.18
S100292,2025-05-08,Mombasa-Store,SKU0038,Product 39,3,15.65
S100293,2024-12-29,Nairobi_CBD,SKU0086,Product 22,2,12.08
S100294,2024-03-24,Thika.Branch,SKU0086,PRODUCT 79  ,2,12.56
S100295,2024-12-25,Thika.Branch,SKU0089,Product 23,5,15.86
S100296,2025-02-23,Kisumu Store,SKU0067,Product 53,2,12.24
S100297,2024-04-10,Mombasa-Store,SKU0098,Product 65,2,15.95
S100298,2024-01-31,Thika.Branch,SKU0019,Product 31,3,12.94
S100299,2025-04-30,Kisumu Store,SKU0060,Product 24,4,11.89
S100300,2025-05-04,Kisumu Store,SKU0048,Product 21,3,11.8
S100301,2024-07-02,Nakuru,sku0056,Product 9,2,16.18
S100302,2025-02-02,Mombasa-Store,SKU0017,Product 98,2,13.15
S100303,2025-05-17,Kisumu Store,SKU0020,Product 98,2,22.2
S100304,2025-03-22,Nakuru,SKU0044,Product 52,5,18.51
S100305,2024-02-17,Nairobi_CBD,SKU0003,Product 87,4,10.87
S100306,2025-05-02,Kisumu Store,SKU0011,Product 19,2,18.81
S100307,2025-08-11,Nairobi_CBD,sku0056,Product 32,3,13.37
S100308,2024-07-05,Mombasa-Store,SKU0077,PRODUCT 29  ,4,21.48
S100309,2024-08-07,Kisumu Store,sku0027,Product 31,2,14.82
S100310,2025-02-25,Nairobi_CBD,SKU0077,Product 27,3,14.24
S100311,2024-07-24,Nairobi_CBD,SKU0088,Product 31,3,11.98
S100312,2024-11-03,Thika.Branch,SKU0043,PRODUCT 64  ,4,14.6
S100313,2025-08-18,Nakuru,SKU0097,Product 94,3,20.14
S100314,2024-12-02,Nairobi_CBD,SKU0091,Product 20,2,13.67
S100315,2024-09-29,Nairobi_CBD,SKU0025,Product 62,2,16.14
S100316,2024-04-20,Kisumu Store,SKU0042,Product 31,2,15.51
S100317,2024-01-02,Kisumu Store,SKU0044,Product 75,5,11.41
S100318,2024-06-19,Mombasa-Store,SKU0056,Product 20,5,11.58
S100319,2025-07-20,Thika.Branch,SKU0007,Product 27,1,19.76
S100320,2025-07-18,Mombasa-Store,SKU0076,Product 70,3,18.67
S100321,2025-02-20,Thika.Branch,sku0039,PRODUCT 73  ,1,11.39
S100322,2024-08-24,Thika.Branch,SKU0029,Product 65,6,12.14
S100323,2024-03-12,Nakuru,SKU0052,Product 90,1,22.23
S100324,2024-09-29,Thika.Branch,sku0038,Product 64,4,10.5
S100325,2025-02-27,Nairobi_CBD,SKU0067,PRODUCT 83  ,2,13.72
S100326,2024-08-14,Kisumu Store,SKU0069,Product 22,3,18.67
S100327,2024-05-28,Mombasa-Store,SKU0090,Product 78,2,10.69
S100328,2025-07-03,Mombasa-Store,SKU0038,Product 99,5,16.86
S100329,2024-02-27,Kisumu Store,sku0046,Product 33,5,16.73
S100330,2024-09-08,Kisumu Store,SKU0018,PRODUCT 80  ,4,17.95
S100331,2024-07-28,Nakuru,sku0079,PRODUCT 66  ,2,12.02
S100332,2024-07-02,Nakuru,sku0085,PRODUCT 96  ,6,14.49
S100333,2025-06-20,Thika.Branch,SKU0006,Product 11,2,13.7
S100334,2024-07-29,Thika.Branch,SKU0023,Product 47,3,16.57
S100335,2024-09-27,Kisumu Store,SKU0091,Product 85,4,14.27
S100336,2025-03-09,Thika.Branch,SKU0055,Product 30,3,13.64
S100337,2025-07-31,Mombasa-Store,SKU0070,Product 78,5,12.22
S100338,2025-04-13,Kisumu Store,SKU0071,Product 64,2,16.12
S100339,2024-05-22,Thika.Branch,sku0040,Product 99,3,12.29
S100340,2024-03-10,Nakuru,SKU0058,Product 3,2,13.88
S100341,2024-07-10,Kisumu Store,SKU0075,Product 16,6,16.86
S100342,2024-08-24,Nakuru,SKU0091,Product 11,3,11.11
S100343,2025-07-02,Nakuru,sku0026,Product 97,1,10.97
S100344,2025-03-24,Kisumu Store,SKU0007,Product 31,1,10.74
S100345,2025-03-20,Mombasa-Store,SKU0067,Product 2,4,15.4
S100346,2024-09-03,Mombasa-Store,sku0041,Product 7,2,15.49
S100347,2025-08-10,Thika.Branch,SKU0004,Product 36,1,14.79
S100348,2024-07-09,Nakuru,SKU0004,Product 69,2,11.15
S100349,2024-07-26,Nairobi_CBD,sku0064,Product 25,4,11.99
S100350,2024-06-11,Nakuru,SKU0065,Product 50,3,17.6
S100351,2025-03-20,Kisumu Store,SKU0085,Product 51,2,24.16
S100352,2025-02-10,Kisumu Store,,Product 39,4,12.67
S100353,2024-01-05,Thika.Branch,SKU0018,Product 97,2,11.13
S100354,2025-01-22,Nakuru,SKU0025,Product 32,2,15.94
S100355,2025-01-18,Nakuru,SKU0093,Product 60,3,18.18
S100356,2024-05-01,Thika.Branch,SKU0044,Product 28,2,16.16
S100357,2024-03-05,Nakuru,sku0025,PRODUCT 27  ,5,18.73
S100358,2024-07-05,Nairobi_CBD,SKU0041,Product 67,4,15.02
S100359,2024-07-08,Nakuru,SKU0019,Product 60,1,15.54
S100360,2024-05-15,Mombasa-Store,SKU0083,Product 85,2,19.26
S100361,2025-08-05,Kisumu Store,SKU0087,Product 50,4,11.81
S100362,2025-02-26,Nakuru,SKU0071,Product 67,6,20.45
S100363,2025-03-28,Mombasa-Store,SKU0073,Product 19,3,13.75
S100364,2024-01-06,Kisumu Store,sku0066,Product 32,1,13.27
S100365,2025-04-01,Nairobi_CBD,SKU0039,Product 87,3,12.36
S100366,2025-02-19,Kisumu Store,SKU0003,Product 65,3,10.97
S100367,2025-05-29,Mombasa-Store,SKU0093,Product 73,6,14.1
S100368,2024-03-23,Kisumu Store,,Product 26,3,20.85
S100369,2024-08-24,Kisumu Store,SKU0012,Product 43,5,13.62
S100370,2024-01-25,Nakuru,SKU0094,Product 6,5,15.42
S100371,2024-04-08,Thika.Branch,SKU0090,Product 52,3,14.83
S100372,2024-09-14,Mombasa-Store,SKU0019,Product 6,4,15.52
S100373,2024-11-26,Thika.Branch,SKU0018,PRODUCT 46  ,3,15.34
S100374,2024-09-18,Nairobi_CBD,SKU0060,Product 51,2,13.17
S100375,2024-10-24,Thika.Branch,sku0064,Product 51,3,14.36
S100376,2024-03-12,Thika.Branch,SKU0082,Product 18,4,15.76
S100377,2024-01-12,Nakuru,SKU0027,Product 63,4,17.11
S100378,2025-06-03,Nairobi_CBD,SKU0049,Product 57,2,15.5
S100379,2024-06-23,Mombasa-Store,SKU0079,PRODUCT 8  ,2,15.84
S100380,2024-06-28,Kisumu Store,SKU0053,Product 5,2,13.39
S100381,2024-08-15,Thika.Branch,SKU0036,Product 53,3,15.88
